session_id,tracking_id
b2604b5c-a942-4d86-84ea-28b445c53738    ,e607aee6-4e15-4212-8b71-c30f719c00fb    
5a8f2511-315a-4164-9f94-f267ac7304bd    ,2ddd0efb-ac38-4a4a-896f-bb31b82e0ba7    
bdc5fc25-3880-410b-870d-743bcf2a6182    ,9b704062-b9c9-4db6-93b5-aef226eb2fef    
aaebf8a6-1ff9-417f-8d23-2cae22981adf    ,228d9a6a-8f39-4f7c-98e7-f75833e5b46b    
d765b594-a5c2-41fc-a172-fc149f9e5717    ,8a1dc606-5539-4490-a9d2-97e303dd5ba5    
25c2bd0c-4622-4125-90b3-8dfc5e53e4ec    ,6de4adc3-e9f1-41c0-aaae-0f6d7fcc5ca8    
a9884529-7383-42b7-880a-e82393cdbc71    ,afed1866-a087-4c49-82d4-3bb0032b546a    
b58d901b-960a-4838-8238-4e9cd9907ff3    ,a9abda44-6330-4816-824b-50be7b5696cf    
7ff4ed8c-f652-4077-9914-58e1c859da3d    ,49ebf44a-f665-4e35-83c1-58947a020dc2    
4ade61fa-329f-44ae-963b-ed88a22e8389    ,407a0472-8353-4b35-960f-32b35dd0a286    
93cad333-41a2-44a4-9868-3ac32968c1ee    ,f0f026ff-65c9-4e31-a33f-6d3f2be18a30    
51efec19-d248-4c51-9759-f4ab5a973712    ,e80a78d5-7680-4d61-ae95-9a06413f035a    
1a2b95c3-dc93-473e-9eb0-0a3209424793    ,ce34d8a7-7515-4b9c-9025-4b0c10ffc9f6    
e45d30e2-9c8c-4185-af8f-ea7e6106d86a    ,8d71bc01-9d74-4f8b-9485-7d3547a16bff    
6d7f3cbc-4a53-4462-aa01-ee765a3b84d3    ,aca01c47-db79-4f0d-9499-b8d27ee8b948    
085d384c-f510-470a-b4cc-802614508cd4    ,9ba4d917-fb11-4731-91e7-09fd546a3046    
fe7ced4c-ec8a-44ab-810f-7fec3dea5592    ,1897f22b-5eeb-451d-8e59-a85054c03d1e    
37b5dce9-0d71-4b2c-bab4-a4f31dcc13fc    ,fe596b0d-3245-4158-9a2a-c3a40a7db178    
3117660a-f9ca-4674-b4c4-a921136ed124    ,c0060d45-a2a2-4b60-b61b-06dc47c5f5e7    
2a3949c1-52a8-4f55-adf8-5bef55aaba81    ,e14f8b89-317a-4705-af73-6c38310bcb38    
18a205b4-b3f8-44e2-8b0f-262a9bd9e229    ,dbe10b54-3ec6-41d5-b764-b8d7c87723c5    
1fc05698-1537-483e-93c4-da977145eba4    ,a21b199e-c36f-4773-98db-1b583c9a2af4    
88aebdcf-b023-4dd8-b136-56850fc3dea7    ,9b5ec58a-e3f9-483d-a596-0b75ad5201b1    
0f1f30e5-851b-42fe-a2fb-ea7befd4b45e    ,c29a2d97-779e-4eed-a7af-1e16c0ce7749    
64d2df65-89bb-4286-9286-54711b8dcc22    ,7177ef80-ee73-4dd5-bae0-325e396c3ab2    
fe7c4406-a01f-491b-87c2-9a7fd2f90bc9    ,a1cdd0fe-6f57-4424-9d1f-f729a83234e0    
6512f7d6-4064-4f5f-a4cd-a4fb2eb201dd    ,e965a47e-56b0-4d54-907e-635ee5b65880    
c99e516b-bd18-4185-9bea-4db24f24ddd9    ,04ba6f0c-223a-4bd2-a82a-7241b1fd30bb    
15b54ec8-8299-4ff4-80f5-27b71445e5ef    ,798161eb-1d54-45b0-96b1-ca156bba37bd    
f1215c49-a903-4581-999b-7ca9e5089d0e    ,2b107277-49ac-436d-97ac-35145b3c7828    
b61df534-9d69-48e9-abc4-56f86cb684c8    ,ba13d682-7f30-47c9-87eb-6d99f3625f10    
920b766c-cc2a-4e3b-b369-9111c13a4221    ,2872983a-1f0a-4c7d-b9b5-8412f5dd7486    
d5a24fb4-51e4-431e-a646-1d864387ef0a    ,88acf4f4-cf41-4925-92f5-af60561ee11d    
1879b139-3c2f-43cb-b76f-3629c220cf06    ,c2fd0b28-fbac-4f95-9a17-b132ea36ffa0    
b9a65376-4fe0-4dd0-a6b7-d96d7eb50f06    ,6e0ffe4e-4beb-4993-971f-e2762ddd625c    
51c11a6f-92e8-43d4-a5a0-2b2dfe3dc9c1    ,e8af4ae3-d289-40a4-bfc3-d44feadbd123    
80747a51-49d2-4d28-9136-c88884036222    ,a281486d-3c74-4c1b-87bb-f159f0e146fa    
1d4e1e64-5689-44a0-8f84-9f174a3c0c08    ,0d1555d2-7cde-435f-85f4-f025b00039fa    
cdf4c5e2-2e9c-4a70-9d05-84170f5bc7a5    ,66387bc3-cdfa-4991-8c05-8e69e22896e1    
e2e8556b-d957-4376-962c-b1f77531f43c    ,321b8a75-61cb-4249-900a-4644cdfbc03a    
ac6429a1-c60b-447e-9fee-4e7596522c88    ,bb5fb6ee-95c8-4797-98ce-10e58cc88d5c    
53e16f00-4812-4bb6-abbf-06fc79c35c38    ,c6be0d9e-aada-488b-9451-4c0e778203a4    
f3b56ac8-6252-4cf7-a51f-ce0a2f58abe8    ,93c162f7-ed53-4e76-9e89-de678e7043b1    
85a23265-cd82-49fa-a5cb-9f9dbb99c0b5    ,cd61b4a4-30a0-4483-823f-032fdbf0d3f0    
d87a83ed-4541-4cc8-8ef6-27134cc74ac7    ,943c2d96-1caf-4f77-9cf5-bb949261bed9    
881d950d-3da9-40b5-a260-9887e2c4abed    ,ec4efa6a-fb0a-4fd3-8d97-46d91cc33a34    
ee335c2c-d9d4-4e2d-a3ff-6acd690a6898    ,b40561d7-740c-4bcd-8bf1-c5cfc564e05a    
c4fed790-59c2-425d-963e-642127e3373c    ,dd80ccb3-1f32-4c6e-b209-af5d96e6fdee    
d426eb3b-b1a7-46bf-b8ee-62c5244a3f70    ,e8fe8e98-e0b5-4794-911e-03412db7c25a    
47f538da-726c-4fb8-9a04-7123d117c86f    ,d7adeff3-fc31-4a5b-a904-0b1a2a3d6a3d    
e7f7b96c-5813-4cf9-8c35-edf62493080d    ,3bf1f85c-4a79-4348-8dcf-8baa027dbc9d    
ca49ca49-29bc-4933-8f4b-46e08415f754    ,8bed6c12-1326-433b-8192-9bd6feda11cf    
caeb55ae-177e-40c5-8b9c-acd389ac3883    ,0ca7ccb0-4938-4b0d-a3f4-d4f5b45a7c6e    
083ff9c4-876c-4e78-a540-0f048d92e9f2    ,254b0901-8f95-4498-b96e-782ca96f1af3    
ed454eed-b927-4a3b-bf5e-7241a01e70b6    ,47e8de04-210c-429d-a5c2-4ff6e8dda320    
8d3ba6a8-bc1d-45f4-8f88-cf49088b4ccc    ,6934a1e6-9194-4660-b7e1-c553e490df55    
70a9a46d-dce3-41f7-a1e8-5ae0e35ce91c    ,03477b81-c805-4104-91d5-81e4b40b9577    
70ccc59d-1781-4805-8fed-031dcabbaba8    ,fb6afcc3-4e59-4616-8aec-4c0588978a9e    
78807205-fdb0-4514-b708-3ac4940b8267    ,beaa8853-fb81-4bb4-884a-1db37cb358f9    
c5ee9bd8-80f5-4d4f-a94c-2f64c6f8f1cf    ,b561875b-f328-4c58-8d07-82ba7899f345    
