sent_email_id,mailing_id
2898749029,297147
2898725736,297147
2898694715,297147
2898743292,297147
2898814800,297147
2898532655,297147
2899467802,297147
2899467800,297147
2899467798,297147
2899467795,297147
2899467794,297147
2899467792,297147
2899467784,297147
2899467780,297147
2899467778,297147
2899467740,297147
2899467739,297147
2899467738,297147
2899467737,297147
2899467735,297147
2899467734,297147
2899467733,297147
2899467732,297147
2899467731,297147
2899467730,297147
2899467727,297147
2899467725,297147
2899467724,297147
2899467723,297147
2899467721,297147
2899467720,297147
2899467717,297147
2899467714,297147
2899467706,297147
2899467672,297147
2899467659,297147
2899467650,297147
2899467630,297147
2899467619,297147
2899467613,297147
2899467611,297147
2899467598,297147
2899467585,297147
2899467371,297147
2899467355,297147
2899467347,297147
2899467335,297147
2899467320,297147
2899467297,297147
2899467274,297147
2899467098,297147
2899467052,297147
2899467051,297147
2899467049,297147
2899467048,297147
2899467043,297147
2899467037,297147
2899467036,297147
2899467033,297147
2899467031,297147
2899467030,297147
2899467029,297147
2899467028,297147
2899467026,297147
2899467020,297147
2899467016,297147
2899467009,297147
2899467003,297147
2899466974,297147
2899466964,297147
2899466962,297147
2899466958,297147
2899466957,297147
2899466950,297147
2899466944,297147
2899466933,297147
2899466932,297147
2899466915,297147
2899466930,297147
2899466928,297147
2899466925,297147
2899466922,297147
2899466921,297147
2899466914,297147
2899466109,297147
2899465503,297147
2899465498,297147
2899465478,297147
2899465358,297147
2899465348,297147
2899465347,297147
2899465344,297147
2899465343,297147
2899465337,297147
2899465249,297147
2899465235,297147
2899465169,297147
2899465165,297147
2899465164,297147
2899465158,297147
2899465155,297147
2899465152,297147
2899465150,297147
2899465148,297147
2899465144,297147
2899465140,297147
2899465135,297147
2899465131,297147
2899465127,297147
2899465126,297147
2899465125,297147
2899465123,297147
2899465122,297147
2899465056,297147
2899465050,297147
2899465045,297147
2899465024,297147
2899465020,297147
2899465013,297147
2899464987,297147
2899464986,297147
2899464982,297147
2899464951,297147
2899464931,297147
2899464917,297147
2899464885,297147
2899464859,297147
